"id","name","description"
"cpv_03000000-1","03000000-1","Produits agricoles, de l'élevage, de la pêche, de la sylviculture et produits connexes"
"cpv_03100000-2","03100000-2","Produits agricoles et produits de l'horticulture"
"cpv_03110000-5","03110000-5","Produits agricoles, produits de la culture maraîchère et de l'horticulture commerciale"
"cpv_03111000-2","03111000-2","Graines"
"cpv_03111100-3","03111100-3","Graines de soja"
"cpv_03111200-4","03111200-4","Graines d'arachide"
"cpv_03111300-5","03111300-5","Graines de tournesol"
"cpv_03111400-6","03111400-6","Graines de coton"
"cpv_03111500-7","03111500-7","Graines de sésame"
"cpv_03111600-8","03111600-8","Graines de moutarde"
"cpv_03111700-9","03111700-9","Graines de légumes"
"cpv_03111800-0","03111800-0","Graines de fruits"
"cpv_03111900-1","03111900-1","Graines de fleurs"
"cpv_03112000-9","03112000-9","Tabacs non fabriqués"
"cpv_03113000-6","03113000-6","Plantes utilisées pour la fabrication du sucre"
"cpv_03113100-7","03113100-7","Betteraves sucrières"
"cpv_03113200-8","03113200-8","Canne à sucre"
"cpv_03114000-3","03114000-3","Paille et plantes fourragères"
"cpv_03114100-4","03114100-4","Paille"
"cpv_03114200-5","03114200-5","Plantes fourragères"
"cpv_03115000-0","03115000-0","Matières premières végétales"
"cpv_03115100-1","03115100-1","Matières premières végétales destinées à l'industrie textile"
"cpv_03115110-4","03115110-4","Coton"
"cpv_03115120-7","03115120-7","Jute"
"cpv_03115130-0","03115130-0","Lin"
"cpv_03116000-7","03116000-7","Caoutchouc naturel, latex naturel et produits connexes"
"cpv_03116100-8","03116100-8","Caoutchouc naturel"
"cpv_03116200-9","03116200-9","Latex naturel"
"cpv_03116300-0","03116300-0","Produits en latex"
"cpv_03117000-4","03117000-4","Plantes à usage spécifique"
"cpv_03117100-5","03117100-5","Plantes utilisées en parfumerie ou en pharmacie, ou plantes à usage insecticide ou à usage similaire"
"cpv_03117110-8","03117110-8","Plantes utilisées en parfumerie"
"cpv_03117120-1","03117120-1","Plantes utilisées en pharmacie"
"cpv_03117130-4","03117130-4","Plantes à usage insecticide"
"cpv_03117140-7","03117140-7","Plantes à usage fongicide ou à usage similaire"
"cpv_03117200-6","03117200-6","Graines de plantes à usage spécifique"
"cpv_03120000-8","03120000-8","Produits horticoles et produits de pépinières"
"cpv_03121000-5","03121000-5","Produits horticoles"
"cpv_03121100-6","03121100-6","Plantes vivantes, bulbes, racines, boutures et greffons"
"cpv_03121200-7","03121200-7","Fleurs coupées"
"cpv_03121210-0","03121210-0","Compositions florales"
"cpv_03130000-1","03130000-1","Plantes pour boissons et épices"
"cpv_03131000-8","03131000-8","Plantes pour boissons"
"cpv_03131100-9","03131100-9","Grains de café"
"cpv_03131200-0","03131200-0","Théiers"
"cpv_03131300-1","03131300-1","Maté"
"cpv_03131400-2","03131400-2","Fèves de cacao"
"cpv_03132000-5","03132000-5","Épices brutes"
"cpv_03140000-4","03140000-4","Produits animaux et produits connexes"
"cpv_03141000-1","03141000-1","Sperme de taureau"
"cpv_03142000-8","03142000-8","Produits de l'élevage"
"cpv_03142100-9","03142100-9","Miel naturel"
"cpv_03142200-0","03142200-0","Escargots"
"cpv_03142300-1","03142300-1","Produits alimentaires d'origine animale"
"cpv_03142400-2","03142400-2","Cires"
"cpv_03142500-3","03142500-3","Œufs"
"cpv_03143000-5","03143000-5","Produits de la polyculture"
"cpv_03144000-2","03144000-2","Fournitures pour l'agriculture"
"cpv_03200000-3","03200000-3","Céréales, pommes de terre, légumes, fruits et noix"
"cpv_03210000-6","03210000-6","Céréales et pommes de terre"
"cpv_03211000-3","03211000-3","Céréales"
"cpv_03211100-4","03211100-4","Blé"
"cpv_03211110-7","03211110-7","Blé dur"
"cpv_03211120-0","03211120-0","Blé tendre"
"cpv_03211200-5","03211200-5","Maïs"
"cpv_03211300-6","03211300-6","Riz"
"cpv_03211400-7","03211400-7","Orge"
"cpv_03211500-8","03211500-8","Seigle"
"cpv_03211600-9","03211600-9","Avoine"
"cpv_03211700-0","03211700-0","Malt"
"cpv_03211900-2","03211900-2","Produits à graines"
"cpv_03212000-0","03212000-0","Pommes de terre et légumes secs"
"cpv_03212100-1","03212100-1","Pommes de terre"
"cpv_03212200-2","03212200-2","Légumes secs à cosse et à gousse"
"cpv_03212210-5","03212210-5","Légumes secs à cosse"
"cpv_03212211-2","03212211-2","Lentilles"
"cpv_03212212-9","03212212-9","Pois chiches"
"cpv_03212213-6","03212213-6","Pois secs"
"cpv_03212220-8","03212220-8","Légumes à gousse"
"cpv_03220000-9","03220000-9","Légumes, fruits et noix"
"cpv_03221000-6","03221000-6","Légumes"
"cpv_03221100-7","03221100-7","Légumes-racines et légumes-tubercules"
"cpv_03221110-0","03221110-0","Légumes-racines"
"cpv_03221111-7","03221111-7","Betteraves"
"cpv_03221112-4","03221112-4","Carottes"
"cpv_03221113-1","03221113-1","Oignons"
"cpv_03221114-8","03221114-8","Navets"
"cpv_03221120-3","03221120-3","Légumes-tubercules"
"cpv_03221200-8","03221200-8","Légumes-fruits"
"cpv_03221210-1","03221210-1","Haricots"
"cpv_03221211-8","03221211-8","Fèves"
"cpv_03221212-5","03221212-5","Haricots verts"
"cpv_03221213-2","03221213-2","Haricots d'Espagne"
"cpv_03221220-4","03221220-4","Pois"
"cpv_03221221-1","03221221-1","Petits pois"
"cpv_03221222-8","03221222-8","Mange-tout"
"cpv_03221230-7","03221230-7","Poivrons"
"cpv_03221240-0","03221240-0","Tomates"
"cpv_03221250-3","03221250-3","Courgettes"
"cpv_03221260-6","03221260-6","Champignons"
"cpv_03221270-9","03221270-9","Concombres"
"cpv_03221300-9","03221300-9","Légumes à feuilles"
"cpv_03221310-2","03221310-2","Laitues"
"cpv_03221320-5","03221320-5","Feuilles de salade"
"cpv_03221330-8","03221330-8","Artichauts"
"cpv_03221340-1","03221340-1","Épinards"
"cpv_03221400-0","03221400-0","Choux"
"cpv_03221410-3","03221410-3","Choux blancs"
"cpv_03221420-6","03221420-6","Choux-fleurs"
"cpv_03221430-9","03221430-9","Brocolis"
"cpv_03221440-2","03221440-2","Choux de Bruxelles"
"cpv_03222000-3","03222000-3","Fruits et fruits à coque"
"cpv_03222100-4","03222100-4","Fruits et fruits à coque tropicaux"
"cpv_03222110-7","03222110-7","Fruits tropicaux"
"cpv_03222111-4","03222111-4","Bananes"
"cpv_03222112-1","03222112-1","Ananas"
"cpv_03222113-8","03222113-8","Mangues"
"cpv_03222114-5","03222114-5","Dattes"
"cpv_03222115-2","03222115-2","Raisins secs"
"cpv_03222116-9","03222116-9","Figues"
"cpv_03222117-6","03222117-6","Avocats"
"cpv_03222118-3","03222118-3","Kiwis"
"cpv_03222120-0","03222120-0","Noix de coco"
"cpv_03222200-5","03222200-5","Agrumes"
"cpv_03222210-8","03222210-8","Citrons"
"cpv_03222220-1","03222220-1","Oranges"
"cpv_03222230-4","03222230-4","Pamplemousses"
"cpv_03222240-7","03222240-7","Tangerines"
"cpv_03222250-0","03222250-0","Citrons verts"
"cpv_03222300-6","03222300-6","Fruits non tropicaux"
"cpv_03222310-9","03222310-9","Baies"
"cpv_03222311-6","03222311-6","Raisins secs de Corinthe"
"cpv_03222312-3","03222312-3","Groseilles à maquereau"
"cpv_03222313-0","03222313-0","Fraises"
"cpv_03222314-7","03222314-7","Framboises"
"cpv_03222315-4","03222315-4","Canneberges"
"cpv_03222320-2","03222320-2","Pommes, poires et coings"
"cpv_03222321-9","03222321-9","Pommes"
"cpv_03222322-6","03222322-6","Poires"
"cpv_03222323-3","03222323-3","Coings"
"cpv_03222330-5","03222330-5","Fruits à noyau"
"cpv_03222331-2","03222331-2","Abricots"
"cpv_03222332-9","03222332-9","Pêches"
"cpv_03222333-6","03222333-6","Cerises"
"cpv_03222334-3","03222334-3","Prunes"
"cpv_03222340-8","03222340-8","Raisins"
"cpv_03222341-5","03222341-5","Raisins de table"
"cpv_03222342-2","03222342-2","Raisins de cuve"
"cpv_03222400-7","03222400-7","Olives"
"cpv_03300000-2","03300000-2","Produits agricoles, de la chasse et de la pêche"
"cpv_03310000-5","03310000-5","Poissons, crustacés et produits aquatiques"
"cpv_03311000-2","03311000-2","Poissons"
"cpv_03311100-3","03311100-3","Poissons plats"
"cpv_03311110-6","03311110-6","Sole"
"cpv_03311120-9","03311120-9","Plie"
"cpv_03311200-4","03311200-4","Poissons de la famille des gatidés"
"cpv_03311210-7","03311210-7","Morue"
"cpv_03311220-0","03311220-0","Lieu"
"cpv_03311230-3","03311230-3","Merlu"
"cpv_03311240-6","03311240-6","Haddock"
"cpv_03311300-5","03311300-5","Hareng"
"cpv_03311400-6","03311400-6","Thon"
"cpv_03311500-7","03311500-7","Merlan"
"cpv_03311600-8","03311600-8","Blanquet"
"cpv_03311700-9","03311700-9","Saumon"
"cpv_03312000-9","03312000-9","Crustacés"
"cpv_03312100-0","03312100-0","Huîtres"
"cpv_03312200-1","03312200-1","Coquillages"
"cpv_03312300-2","03312300-2","Invertébrés aquatiques"
"cpv_03313000-6","03313000-6","Produits aquatiques"
"cpv_03313100-7","03313100-7","Corail ou produits similaires"
"cpv_03313200-8","03313200-8","Éponges naturelles"
"cpv_03313300-9","03313300-9","Algues marines"
"cpv_03313310-2","03313310-2","Algues"
"cpv_03320000-8","03320000-8","Bétail, cheptel et petits animaux"
"cpv_03321000-5","03321000-5","Bétail"
"cpv_03321100-6","03321100-6","Bovins"
"cpv_03321200-7","03321200-7","Veaux"
"cpv_03322000-2","03322000-2","Cheptel"
"cpv_03322100-3","03322100-3","Moutons"
"cpv_03322200-4","03322200-4","Chèvres"
"cpv_03322300-5","03322300-5","Chevaux"
"cpv_03323000-9","03323000-9","Suidés"
"cpv_03324000-6","03324000-6","Volaille vivante"
"cpv_03325000-3","03325000-3","Petits animaux"
"cpv_03325100-4","03325100-4","Lapins"
"cpv_03325200-5","03325200-5","Lièvres"
"cpv_03330000-3","03330000-3","Produits des animaux d'élévage"
"cpv_03331000-0","03331000-0","Lait frais de brebis et de chèvre"
"cpv_03331100-1","03331100-1","Lait de brebis"
"cpv_03331200-2","03331200-2","Lait de chèvre"
